,City_Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lng
2,"hithadhoo,mv",82.51,100.0,80.0,5.21,-0.6,73.08
3,"malindi,ke",79.49,87.0,0.0,14.56,-3.22,40.12
4,"kakonko,tz",61.4,93.0,48.0,6.06,-3.28,30.97
5,"penalva,br",79.9,82.0,92.0,4.61,-3.29,-45.17
6,"iquitos,pe",78.8,88.0,75.0,3.36,-3.75,-73.25
8,"hambantota,lk",78.01,100.0,32.0,13.04,6.12,81.12
9,"nabire,id",77.06,87.0,36.0,2.59,-3.36,135.5
10,"codajas,br",77.2,94.0,32.0,2.3,-3.84,-62.06
11,"bandundu,cd",72.83,98.0,76.0,3.04,-3.32,17.38
12,"touros,br",78.55,90.0,88.0,9.75,-5.2,-35.46
13,"tabou,ci",81.47,97.0,0.0,5.06,4.42,-7.36
15,"auki,sb",81.65,100.0,12.0,2.37,-8.77,160.7
16,"vanimo,pg",83.72,100.0,56.0,6.62,-2.67,141.3
17,"manacapuru,br",74.9,98.0,68.0,1.25,-3.3,-60.62
18,"sungaipenuh,id",66.44,95.0,44.0,1.07,-2.08,101.38
19,"gamba,ga",78.05,100.0,80.0,3.2,-2.72,10.02
20,"sao paulo de olivenca,br",79.58,86.0,32.0,2.98,-3.38,-68.87
21,"mushie,cd",71.71,100.0,64.0,2.3,-3.02,16.92
22,"sibolga,id",68.83,100.0,92.0,1.81,1.74,98.78
24,"georgetown,sh",75.17,100.0,92.0,15.84,-7.93,-14.42
25,"faanui,pf",83.45,100.0,12.0,14.83,-16.48,-151.75
26,"monduli,tz",77.0,73.0,20.0,3.53,-3.3,36.45
27,"puerto ayora,ec",78.8,61.0,20.0,17.22,-0.74,-90.35
28,"padang,id",79.49,100.0,44.0,1.03,-0.92,100.36
29,"voi,ke",66.98,59.0,32.0,3.98,-3.4,38.57
30,"atuona,pf",79.9,100.0,12.0,11.77,-9.8,-139.03
32,"kendari,id",85.07,62.0,24.0,4.09,-3.99,122.52
33,"tefe,br",78.8,83.0,0.0,9.17,-3.35,-64.71
34,"angoram,pg",83.5,82.0,44.0,2.71,-4.06,144.07
